#Digilent WaveForms Logger;;;;
#Device Name: Discovery;;;;
#Serial Number: SN:210244449844;;;;
#Date Time: 2017-02-04 17:52::30.935;;;;
;;;;
Time (s);C1 DC (V);C2 DC (V);Sense-Power (W);Current (A)
347;-0.003815468;12.59501207;1.32E-06;-0.000346861
348;-0.004075781;12.59505926;1.51E-06;-0.000370526
349;-0.003980613;12.59482675;1.44E-06;-0.000361874
350;-0.003818052;12.59497285;1.33E-06;-0.000347096
351;-0.003715132;12.59527411;1.25E-06;-0.000337739
352;-0.003798674;12.59487502;1.31E-06;-0.000345334
353;-0.003997407;12.59516766;1.45E-06;-0.000363401
354;-0.003868865;12.59547516;1.36E-06;-0.000351715
355;-0.003845181;12.5953838;1.34E-06;-0.000349562
356;-0.004018077;12.59521313;1.47E-06;-0.00036528
357;-0.003829679;12.59530773;1.33E-06;-0.000348153
358;-0.00377176;12.59514934;1.29E-06;-0.000342887
359;-0.004029058;12.59536074;1.48E-06;-0.000366278
360;-0.004320375;12.59551417;1.70E-06;-0.000392761
361;-0.004093436;12.59522692;1.52E-06;-0.000372131
362;-0.003948962;12.59548831;1.42E-06;-0.000358997
363;-0.003622979;12.59521442;1.19E-06;-0.000329362
364;-0.002785629;12.5955202;7.05E-07;-0.000253239
365;-0.003329293;12.59545857;1.01E-06;-0.000302663
366;-0.003030655;12.59536182;8.35E-07;-0.000275514
367;-0.003612213;12.59487717;1.19E-06;-0.000328383
368;-0.003580993;12.59491553;1.17E-06;-0.000325545
369;-0.003990517;12.59510904;1.45E-06;-0.000362774
370;-0.003363958;12.59487437;1.03E-06;-0.000305814
371;-0.002883166;12.59455372;7.56E-07;-0.000262106
372;-0.003135942;12.59447054;8.94E-07;-0.000285086
373;-0.003464509;12.59426366;1.09E-06;-0.000314955
374;-0.003726975;12.59468905;1.26E-06;-0.000338816
375;-0.003681328;12.59492824;1.23E-06;-0.000334666
376;-0.00330324;12.59531419;9.92E-07;-0.000300295
377;-0.003069626;12.59533359;8.57E-07;-0.000279057
378;-0.002785844;12.59546654;7.06E-07;-0.000253259
379;-0.003305824;12.59532971;9.93E-07;-0.000300529
380;-0.003369126;12.59516766;1.03E-06;-0.000306284
381;-0.003115057;12.59551977;8.82E-07;-0.000283187
382;-0.002848285;12.59513792;7.38E-07;-0.000258935
383;-0.002642662;12.59516507;6.35E-07;-0.000240242
384;-0.003518122;12.595598;1.13E-06;-0.000319829
385;-0.003023119;12.59576565;8.31E-07;-0.000274829
386;-0.003506279;12.59597662;1.12E-06;-0.000318753
387;-0.003270943;12.59556675;9.73E-07;-0.000297358
388;-0.00338592;12.59462009;1.04E-06;-0.000307811
389;-0.00374786;12.59535126;1.28E-06;-0.000340715
390;-0.003651615;12.59484377;1.21E-06;-0.000331965
391;-0.004133269;12.59555921;1.55E-06;-0.000375752
392;-0.004195925;12.59536806;1.60E-06;-0.000381448
393;-0.003915373;12.59469443;1.39E-06;-0.000355943
394;-0.003629008;12.59516292;1.20E-06;-0.00032991
395;-0.00350305;12.5953088;1.12E-06;-0.000318459
396;-0.003376661;12.59536182;1.04E-06;-0.000306969
397;-0.003078023;12.59514718;8.61E-07;-0.00027982
398;-0.004285279;12.59514029;1.67E-06;-0.000389571
399;-0.003802119;12.5950125;1.31E-06;-0.000345647
400;-0.003321972;12.5951933;1.00E-06;-0.000301997
401;-0.003577117;12.59506982;1.16E-06;-0.000325192
402;-0.003469246;12.59511939;1.09E-06;-0.000315386
403;-0.00325824;12.59507758;9.65E-07;-0.000296204
404;-0.003256302;12.59419255;9.64E-07;-0.000296027
