#Digilent WaveForms Logger
#Device Name: Discovery
#Serial Number: SN:210244449844
#Date Time: 2017-02-06 09:28::28.907

Time (s),C1 DC (V),C2 DC (V),Sense-Power (W),Current (A),Battery Power (W)
191,0.069615939357209805,12.454703339387484,0.00044057991023515577,0.0063287217597463455,0.078822352035167048
192,0.068125116815974038,12.454484829569971,0.00042191195829000986,0.0061931924378158219,0.077133021263384616
193,0.067359896811416534,12.454363291565135,0.00041248688167678935,0.0061236269828560484,0.076265875106520137
194,0.068277988567025397,12.454373204239147,0.00042380761115989548,0.0062070898697295816,0.077305413749864355
195,0.070080152730823311,12.453857314196828,0.00044647525516141109,0.0063709229755293919,0.079342565696981338
196,0.070120200823352116,12.45408228880139,0.00044698568759156642,0.0063745637112138289,0.079389341014664203
197,0.069801538581725414,12.45434777607497,0.00044293225348873651,0.0063455944165204921,0.079030239709265732
198,0.069110816641766729,12.453965922626265,0.00043420954335380917,0.0062828015128878843,0.078245795940130466
199,0.068875695582404792,12.454346052131696,0.00043126013108728132,0.0062614268711277087,0.077981977033140693
200,0.068541530853344759,12.454095218376599,0.00042708558652000109,0.006231048259394978,0.077602068332804822
201,0.069915654114199102,12.454433542255826,0.00044438169911057508,0.0063559685558362824,0.079159987975330706
202,0.070167569534946447,12.454391305643952,0.00044758980131286765,0.0063788699577224045,0.079444942541291322
203,0.070075846484315821,12.454265888766489,0.00044642038731758165,0.0063705314985741659,0.0793402931360047
204,0.068699139475555823,12.454312004250976,0.00042905197860744292,0.00624537631595962,0.077781865222920646
205,0.067843918918970333,12.454321485939236,0.00041843612129852917,0.0061676289926336668,0.076813634280259238
206,0.068018321902562115,12.454308125378375,0.00042059019222186921,0.0061834838093238285,0.077011012649607385
207,0.069831682307284537,12.45381335364161,0.00044331489580595604,0.0063483347552076852,0.079060976147792617
208,0.070195129512601123,12.454202533848903,0.0004479414733900768,0.0063813754102364654,0.079474941803608076
209,0.069881204142132072,12.454276663412575,0.00044394388112312149,0.0063528367401938244,0.07911998635986596
210,0.06855100459566256,12.454366308465628,0.00042720365737041361,0.006231909508696596,0.077614483822517469
211,0.068114781824354917,12.454513705620704,0.0004217839548163156,0.006192252893123174,0.07712149852607203
212,0.068418372203200781,12.454678342209167,0.00042555215044870161,0.0062198520184727985,0.077466256226219138
213,0.069588810004204221,12.453953424037502,0.00044023658889102117,0.0063262554549276566,0.078786890784232219
214,0.069736514259444105,12.453986609946424,0.00044210740191433191,0.0063396831144949184,0.078954328619223163
215,0.069694743668312978,12.454175812727465,0.00044157793590835019,0.0063358857880284527,0.078908235533467652
216,0.069094883529686457,12.454238736659018,0.00043400935727099421,0.0062813530481533146,0.07822947045094221
217,0.068218562365209789,12.454599471801584,0.0004230702046523652,0.0062016874877463442,0.077239533709164115
218,0.068015307530006078,12.454454660561737,0.00042055291440011832,0.006183209775455098,0.077008505805147634
219,0.069308473356501074,12.45428959298761,0.0004366967708189836,0.006300770305136461,0.078471618039066396
220,0.069617661855811003,12.454170209911718,0.00044060171293364023,0.0063288783505282727,0.078820928215304426
221,0.069042347322279637,12.453924978972269,0.0004333496112518449,0.0062765770292981492,0.078168019447619766
222,0.068328371651175071,12.453742671964621,0.00042443330659100957,0.0062116701501068244,0.077358541612554246
223,0.067980426933290899,12.454207705678835,0.0004201216769120457,0.0061800388121173548,0.076967486995266232
224,0.067282814998912657,12.454252959191503,0.00041154338128890057,0.0061166195453556957,0.076177927072994769
225,0.068715933836933196,12.454434835213332,0.00042926177846198005,0.0062469030760848362,0.077801647282992312
226,0.069748571749668267,12.453946959249965,0.00044226029646532927,0.0063407792499698421,0.078967728459437198
227,0.0689855048683682,12.453876277573187,0.00043263635290396839,0.006271409533488018,0.078103358416052759
228,0.068196169883363522,12.453289705853736,0.00042279250788732525,0.0061996518075785019,0.077206060035194868
229,0.067260853141721658,12.45300741013286,0.00041127476048656803,0.0061146230128837874,0.076145445689610722
